side,cluster_id,blind_profit_sum,blind_bet_count,model_profit_sum,model_bet_count
OVER,2024020244:8478499,-3.0,3,0.0,0
OVER,2024020244:8481611,1.61,2,0.0,0
OVER,2024020245:8476932,2.76,3,0.0,0
OVER,2024020245:8476999,2.63,3,2.63,3
OVER,2024020246:8474593,2.87,3,2.87,3
OVER,2024020246:8481519,-3.0,3,0.0,0
OVER,2024020247:8476945,2.8499999999999996,3,0.0,0
OVER,2024020247:8478048,-3.0,3,0.0,0
OVER,2024020248:8476412,2.63,3,0.0,0
OVER,2024020248:8480280,-3.0,3,0.0,0
OVER,2024020249:8478009,2.62,3,0.0,0
OVER,2024020249:8479973,-3.0,3,-3.0,3
OVER,2024020250:8478435,2.92,3,0.0,0
OVER,2024020250:8480947,2.56,3,0.8999999999999999,1
OVER,2024020251:8478007,2.64,3,0.0,0
OVER,2024020251:8478916,2.5300000000000002,3,0.0,0
OVER,2024020252:8475660,2.5300000000000002,3,0.0,0
OVER,2024020252:8477968,2.5200000000000005,3,2.5200000000000005,3
OVER,2024020253:8480313,2.62,3,2.62,3
OVER,2024020254:8478872,2.5,3,0.0,0
OVER,2024020254:8481611,-3.0,3,0.0,0
OVER,2024020255:8475311,-3.0,3,0.0,0
OVER,2024020255:8480382,-3.0,3,0.0,0
OVER,2024020257:8476412,1.7400000000000002,2,0.0,0
OVER,2024020257:8482221,-2.0,2,0.0,0
OVER,2024020258:8476999,-2.0,2,-2.0,2
OVER,2024020258:8478905,0.8,1,0.0,0
OVER,2024020259:8476883,-2.0,2,0.0,0
OVER,2024020259:8477480,-1.0,1,0.0,0
OVER,2024020260:8474596,-3.0,3,-3.0,3
OVER,2024020260:8475683,-3.0,3,-3.0,3
OVER,2024020261:8478048,-2.0,2,0.0,0
OVER,2024020261:8478406,1.6900000000000002,2,0.0,0
OVER,2024020262:8479979,-2.0,2,-2.0,2
OVER,2024020262:8480280,1.8299999999999998,2,0.0,0
OVER,2024020263:8478470,-2.0,2,0.0,0
OVER,2024020263:8479406,-2.0,2,-2.0,2
OVER,2024020264:8475717,-1.0,1,-1.0,1
OVER,2024020265:8473575,-1.0,1,0.0,0
OVER,2024020265:8480947,0.77,1,0.0,0
OVER,2024020266:8475852,-1.0,1,0.0,0
OVER,2024020266:8478916,-3.0,3,0.0,0
OVER,2024020267:8477465,1.6700000000000002,2,0.0,0
OVER,2024020267:8478007,-3.0,3,0.0,0
OVER,2024020268:8479292,-3.0,3,0.0,0
OVER,2024020268:8481020,-3.0,3,0.0,0
OVER,2024020269:8477424,2.5300000000000002,3,0.0,0
OVER,2024020269:8481692,2.7399999999999998,3,0.0,0
OVER,2024020270:8478499,2.5100000000000002,3,0.0,0
OVER,2024020270:8478872,-3.0,3,0.0,0
OVER,2024020271:8476434,-3.0,3,0.0,0
OVER,2024020271:8479312,-3.0,3,0.0,0
OVER,2024020272:8476412,-3.0,3,0.0,0
OVER,2024020273:8478009,-3.0,3,0.0,0
OVER,2024020274:8476932,-3.0,3,0.0,0
OVER,2024020274:8479973,-3.0,3,-3.0,3
OVER,2024020275:8478470,-3.0,3,0.0,0
OVER,2024020275:8480193,-3.0,3,0.0,0
OVER,2024020276:8474593,-3.0,3,-3.0,3
OVER,2024020277:8475683,2.42,3,0.0,0
OVER,2024020277:8476945,-3.0,3,0.0,0
OVER,2024020278:8478905,-3.0,3,0.0,0
OVER,2024020278:8482221,2.63,3,0.0,0
OVER,2024020279:8477968,0.9099999999999999,1,0.9099999999999999,1
OVER,2024020279:8477970,-3.0,3,0.0,0
OVER,2024020280:8477484,-3.0,3,0.0,0
OVER,2024020281:8479406,2.41,3,0.0,0
OVER,2024020281:8479979,-3.0,3,0.0,0
OVER,2024020283:8481668,2.75,3,2.75,3
OVER,2024020283:8482821,2.5200000000000005,3,0.0,0
OVER,2024020284:8481611,2.83,3,2.83,3
OVER,2024020285:8477424,-3.0,3,0.0,0
OVER,2024020285:8480947,-2.0,2,-2.0,2
OVER,2024020286:8480313,1.6900000000000002,2,0.0,0
OVER,2024020287:8471734,-2.0,2,0.0,0
OVER,2024020287:8475831,-1.0,1,0.0,0
OVER,2024020288:8478007,2.79,3,0.0,0
OVER,2024020288:8480280,-3.0,3,0.0,0
OVER,2024020289:8481020,-3.0,3,-2.0,2
OVER,2024020289:8482783,-3.0,3,0.0,0
OVER,2024020290:8475717,-2.0,2,-2.0,2
OVER,2024020290:8478470,2.46,3,0.0,0
OVER,2024020291:8479193,-3.0,3,-3.0,3
OVER,2024020292:8478971,-3.0,3,-3.0,3
OVER,2024020292:8479292,-2.0,2,0.0,0
OVER,2024020293:8478406,-3.0,3,0.0,0
OVER,2024020294:8476999,-3.0,3,-3.0,3
OVER,2024020294:8479973,-3.0,3,0.0,0
OVER,2024020295:8476883,-3.0,3,-3.0,3
OVER,2024020295:8477465,2.43,3,0.0,0
OVER,2024020296:8476412,-3.0,3,-1.0,1
OVER,2024020296:8479406,-3.0,3,0.0,0
OVER,2024020297:8475683,-3.0,3,0.0,0
OVER,2024020297:8476945,-3.0,3,-3.0,3
OVER,2024020298:8482821,-3.0,3,0.0,0
OVER,2024020299:8473575,2.58,3,2.58,3
OVER,2024020299:8481692,2.63,3,0.0,0
OVER,2024020300:8478048,-3.0,3,0.0,0
OVER,2024020300:8481668,2.75,3,0.0,0
OVER,2024020301:8478499,-3.0,3,-3.0,3
